,Strahler order,major_minor,branch_length,branch_diameter,length_ratio,diameter_ratio,length_to_diameter_ratio,branching_angle
0,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
3,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
5,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
6,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
7,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
8,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
9,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
10,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
11,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
12,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
13,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
14,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
15,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
16,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
17,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
18,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
19,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
20,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
21,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
22,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
23,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
24,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
25,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
26,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
27,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
28,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
29,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
30,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
31,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
32,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
33,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
34,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
35,4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
