,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,12941,0.59 (0.34),0.07 (0.0),12941,8.09 (4.74),49.87 (33.44),0.92 (0.42),0.7 (0.0),
1,2,12619,0.69 (0.36),0.1 (0.0),12619,6.64 (3.49),42.82 (28.29),0.85 (0.38),0.87 (0.15),
2,3,4998,0.96 (0.42),0.15 (0.01),4998,6.43 (2.84),39.21 (23.65),0.89 (0.37),0.87 (0.15),
3,4,1915,1.21 (0.47),0.21 (0.02),1915,5.71 (2.21),42.47 (22.66),0.88 (0.37),0.85 (0.17),
4,5,753,1.59 (1.03),0.32 (0.14),753,5.06 (2.23),46.85 (23.68),0.93 (1.5),0.81 (0.22),
5,6,300,2.26 (1.73),0.54 (0.43),300,4.55 (2.43),56.41 (25.04),1.32 (5.66),0.86 (0.42),
6,7,109,4.03 (3.75),0.93 (0.44),109,5.13 (4.94),58.28 (30.35),2.23 (6.03),0.93 (0.46),
7,8,88,6.26 (6.57),1.45 (0.51),88,5.07 (5.66),45.38 (24.36),3.49 (8.79),0.98 (0.48),
8,9,35,7.15 (5.53),2.18 (0.54),35,3.71 (3.55),38.37 (23.63),1.72 (4.81),1.05 (0.23),
9,10,9,11.22 (11.18),2.68 (0.88),9,5.88 (8.25),53.62 (32.16),1.39 (1.39),0.98 (0.21),
10,11,9,5.41 (5.18),5.45 (2.55),9,1.3 (1.63),23.05 (23.72),18.32 (46.88),1.18 (0.73),
11,,33776,0.79 (0.82),0.12 (0.17),33776,7.04 (3.98),45.23 (29.68),0.91 (1.23),0.8 (0.16),0
