,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,20837,0.68 (0.4),0.07 (0.0),20837,9.29 (5.45),50.59 (32.46),0.97 (0.41),0.69 (0.04),
1,2,7654,0.84 (0.42),0.1 (0.0),7654,8.04 (4.05),46.55 (26.64),0.89 (0.4),0.7 (0.02),
2,3,3073,1.08 (0.45),0.15 (0.0),3073,7.25 (3.02),44.97 (23.02),0.92 (0.4),0.7 (0.03),
3,4,1268,1.36 (0.59),0.22 (0.04),1268,6.35 (2.46),46.37 (23.36),0.9 (0.6),0.69 (0.08),
4,5,532,1.91 (1.31),0.33 (0.13),532,5.86 (2.76),51.02 (24.0),1.02 (2.14),0.65 (0.17),
5,6,236,3.59 (3.56),0.53 (0.25),236,6.77 (5.25),62.26 (27.41),2.26 (7.22),0.71 (0.39),
6,7,113,6.55 (6.73),0.73 (0.42),113,10.04 (9.17),64.7 (25.58),3.4 (9.24),0.64 (0.4),
7,8,40,9.16 (6.51),1.16 (0.62),40,11.09 (11.33),63.06 (21.84),4.05 (9.15),0.58 (0.23),
8,9,16,14.36 (11.6),2.07 (0.78),16,9.15 (10.27),54.19 (26.8),11.86 (31.6),0.75 (0.35),
9,10,5,15.07 (11.04),2.33 (0.56),5,6.84 (5.1),39.03 (19.96),3.81 (5.35),0.75 (0.22),
10,11,2,12.74 (5.84),3.04 (0.29),2,4.42 (2.34),46.93 (7.7),1.52 (1.18),1.04 (0.22),
11,,33776,0.85 (0.99),0.1 (0.11),33776,8.64 (4.98),49.16 (30.07),0.97 (1.25),0.69 (0.06),0
