,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,10926,0.73 (0.38),0.07 (0.0),10926,10.2 (5.36),49.85 (33.39),0.93 (0.41),0.68 (0.0),
1,2,10838,0.84 (0.4),0.11 (0.02),10838,7.97 (3.77),43.36 (27.86),0.85 (0.39),0.87 (0.16),
2,3,4114,1.18 (0.43),0.16 (0.0),4114,7.57 (2.77),38.58 (23.24),0.88 (0.33),0.85 (0.16),
3,4,1667,1.52 (0.49),0.23 (0.0),1667,6.56 (2.13),40.65 (21.27),0.88 (0.32),0.85 (0.16),
4,5,670,1.97 (0.65),0.34 (0.0),670,5.74 (1.89),39.46 (18.4),0.87 (0.29),0.84 (0.16),
5,6,294,2.55 (0.82),0.52 (0.12),294,4.98 (1.64),40.33 (18.74),0.81 (0.34),0.84 (0.18),
6,7,105,3.66 (1.92),0.76 (0.07),105,4.75 (1.47),47.23 (22.59),0.89 (0.66),0.77 (0.22),
7,8,45,9.18 (8.5),1.43 (0.49),45,5.95 (4.26),54.87 (23.06),1.4 (1.6),0.82 (0.2),
8,9,18,16.77 (11.6),2.16 (0.34),18,7.9 (5.99),41.44 (17.81),1.68 (2.21),0.94 (0.14),
9,10,17,14.4 (9.63),2.93 (0.63),17,5.11 (3.56),46.48 (20.19),1.94 (1.94),0.92 (0.19),
10,11,2,11.65 (3.64),3.62 (0.02),2,3.22 (0.99),53.28 (17.01),0.7 (0.08),1.06 (0.06),
11,,28696,0.97 (0.97),0.12 (0.13),28696,8.58 (4.44),44.9 (29.22),0.89 (0.4),0.79 (0.16),0
