,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,,,,,,,,,
1,2,,,,,,,,,
2,3,,,,,,,,,
3,4,,,,,,,,,
4,5,1,2.4 (0.0),1.2 (0.0),1,2.0 (0.0),94.36 (0.0),0.56 (0.0),0.26 (0.0),
5,6,1,17.28 (0.0),2.08 (0.0),1,8.31 (0.0),54.41 (0.0),4.53 (0.0),1.04 (0.0),
6,7,10,11.12 (13.21),1.53 (0.37),10,7.14 (7.81),61.99 (42.59),2.44 (4.12),0.78 (0.22),
7,8,21,9.14 (9.47),1.59 (0.39),21,5.47 (5.71),68.33 (24.37),1.34 (2.14),0.68 (0.22),
8,9,18,13.48 (11.58),1.73 (0.38),18,7.4 (6.09),60.89 (32.5),1.22 (1.4),0.7 (0.19),
9,10,6,24.04 (14.28),2.81 (0.88),6,9.38 (5.75),41.51 (21.06),1.64 (1.14),0.9 (0.17),
10,11,1,11.25 (0.0),3.0 (0.0),1,3.75 (0.0),40.61 (0.0),1.4 (0.0),0.83 (0.0),
11,12,,,,,,,,,
12,,58,12.43 (12.08),1.77 (0.61),58,6.72 (6.27),61.88 (31.41),1.57 (2.38),0.73 (0.22),0
