,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,,,,,,,,,
1,2,,,,,,,,,
2,3,1,0.43 (0.0),1.88 (0.0),1,0.23 (0.0),81.28 (0.0),0.06 (0.0),0.89 (0.0),
3,4,,,,,,,,,
4,5,,,,,,,,,
5,6,2,2.39 (1.01),1.53 (0.12),2,1.52 (0.54),124.0 (6.83),0.37 (0.25),0.92 (0.1),
6,7,5,15.63 (8.24),1.88 (0.24),5,8.51 (4.46),51.0 (29.38),2.7 (2.4),0.97 (0.05),
7,8,12,11.59 (6.62),1.75 (0.37),12,6.88 (4.28),34.87 (15.42),1.27 (0.86),0.92 (0.17),
8,9,17,17.88 (11.12),2.22 (0.45),17,8.71 (6.26),42.36 (23.26),1.94 (2.22),0.94 (0.19),
9,10,19,16.31 (10.93),2.81 (0.65),19,6.4 (5.17),49.04 (21.15),2.05 (2.16),0.92 (0.18),
10,11,2,23.07 (7.78),3.36 (0.28),2,7.11 (2.9),25.36 (10.91),2.32 (1.53),0.99 (0.14),
11,12,1,8.01 (0.0),3.6 (0.0),1,2.23 (0.0),70.29 (0.0),0.63 (0.0),1.0 (0.0),
12,,59,15.09 (10.4),2.32 (0.69),59,7.02 (5.38),47.04 (26.68),1.81 (1.99),0.93 (0.17),0
