,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,,,,,,,,,
1,2,,,,,,,,,
2,3,1,0.43 (0.0),1.88 (0.0),1,0.23 (0.0),81.28 (0.0),0.06 (0.0),0.89 (0.0),
3,4,,,,,,,,,
4,5,1,2.4 (0.0),1.2 (0.0),1,2.0 (0.0),94.36 (0.0),0.56 (0.0),0.26 (0.0),0.33
5,6,3,7.35 (7.07),1.71 (0.28),3,3.78 (3.23),100.81 (33.28),1.76 (1.97),0.96 (0.1),0.2
6,7,15,12.62 (11.98),1.64 (0.37),15,7.6 (6.91),58.33 (39.04),2.53 (3.64),0.84 (0.2),0.45
7,8,33,10.03 (8.63),1.65 (0.39),33,5.98 (5.28),56.16 (26.9),1.31 (1.78),0.77 (0.24),0.94
8,9,35,15.62 (11.57),1.96 (0.48),35,8.03 (6.21),51.89 (29.86),1.57 (1.88),0.82 (0.22),1.4
9,10,25,18.17 (12.27),2.81 (0.71),25,7.11 (5.47),47.23 (21.37),1.95 (1.97),0.92 (0.18),6.25
10,11,4,19.24 (7.32),3.23 (0.24),3,6.01 (2.47),30.44 (11.44),2.01 (1.32),0.94 (0.13),2.0
11,12,2,10.4 (2.39),3.6 (0.0),1,2.89 (0.66),70.29 (0.0),0.63 (0.0),1.0 (0.0),
12,,119,13.81 (11.26),2.07 (0.72),117,6.84 (5.8),54.4 (30.05),1.69 (2.2),0.83 (0.22),0.96
